Table 1
Тип наблюдения;ФИО;Категория наблюдения;Дата;Время;Организация;Какие возможные последствия наблюдения или преимущества хорошей практики / вашего предложения?;Какие меры вы предприняли?;Производилась ли остановка работ?;Какие действия вы предприняли для поощрения хорошей практики?;Обсудили ли вы небезопасное действие / небезопасное поведение с наблюдаемым?;Сообщили ли ответственному лицу?;Кому вы сообщили о наблюдении? (Обязательно к заполнению для небезопасного действия/ небезопасного поведения/опасного фактора / опасного случая);Было ли небезопасное условие / поведение исправлено и опасность устранена?;Фото/Документы с места выявления несоответствия или предложения;Опишите ваше наблюдение/предложение;
Опасный фактор;Фиалков Мелисс Нарциссович;Вывешивание плакатов;4/15/25 5:00;4/15/25 20:00;"ТОО ""Алый Тюльпан""";Отсутствие плаката категорий безопасности на № 7520;Предупредил мастера вывесить плакат категорий безопасности;FALSE;Предупредил остальных мастеров;TRUE;TRUE;отвественному лицу мастеру;TRUE;;;
Хорошая практика;Астров Виолан Камелиевич;Наряд-допуск / Оценка риска, Целостность объекта / Оборудования;11/4/25 5:00;11/4/25 22:35;"ТОО ""Белая Роза""";Провел наблюдение. Предложении нет;Доложил начальнику участка;FALSE;Доложил начальнику участка;TRUE;TRUE;Доложил начальнику участка;TRUE;;;
Небезопасное условие ;Орхидеев Лаврентий Георгинович;Электрооборудование;3/20/25 5:00;6/16/25 15:30;"ТОО ""Золотая Лилия""";КТП қондырғысы жер тізбегіне қосылмаған.;Шеберге хабарланды.;FALSE;Ешқандай.;TRUE;TRUE;Шеберге хабарланды.;TRUE;;;
Небезопасное поведение;Гортензиев Нарцисс Георгинович;Машины и оборудование;5/8/25 5:00;6/17/25 19:46;"ТОО ""Лавандовый Рассвет""";Жұмыс жасау барысында, бригада жұмыс алаңшасында төселгент төсеніштері талапқа сай болуын қадағалау және қауіпсіздік шараларын  қатты қадағалау тұрақты.;Келеңсіз жағдай болдырмау мақсатында, алдын ала қауіпсіздік шарасын орындауға ұсыныс берілді;FALSE;Нет данных;TRUE;TRUE;Бриагада шеберіне;TRUE;;;
Небезопасное поведение;Магнолиев Мелисс Мелиссович;СИЗ / Средства по обеспечению безопасности;1/21/25 5:00;6/17/25 21:54;"ТОО ""Синяя Орхидея""";Тексеру барысында көтергіш агрегат машинисті монтаж жұмысын каскасыз жүргені анықталды.;Түсіндіру жұмыстары жүргізілді;FALSE;Нет данных;TRUE;TRUE;Бригада шеберіне;TRUE;;;
Небезопасное поведение;Розанов Вербен Вербенович;Вождение, Наряд-допуск / Оценка риска, Поддержание чистоты и порядка;2/26/25 5:00;6/18/25 16:57;"ТОО ""Пурпурный Ирис""";Тексеру кезінде жұмысшы көтергіш агрегаттың алдыңғы домкраты тірелмеген. Көтергіш агрегаттың жұмыс алаңшасында бөгде заттар жатыр.;Сол арада жұмыс басында машиниске бөгде заттарды алып тастауға бұйрық бердім. Домкратты түсіртіп тіреттім. Жұмысшыға түсіндірме жұмыстарын жүргіздім.;FALSE;Нет данных;TRUE;TRUE;Бригада шеберіне;TRUE;;;
Опасный фактор;Камелиев Вербен Орхидеевич;Проскальзывание / Спотыкание / Падение, Санитарно-бытовые помещения;3/3/25 5:00;6/15/25 15:27;"ТОО ""Нежная Фиалка""";При входе в общий туалет на лестничной площадке имеется утрамбованный снег что может привести к проскальзыванию и падению;Сообщил мастеру участка;FALSE;Проведена беседа с работниками;TRUE;TRUE;Инженеру ТБ;TRUE;;;
Небезопасное поведение;Нарциссов Нарцисс Флорович;Охрана окружающей среды, Машины и оборудование;5/8/25 5:00;6/17/25 20:50;"ТОО ""Солнечный Подсолнух""";Тексеру кезінде жұмысшы жұмыс кезінде техниканың белгіленбеген жерінен көтерілді.;Сол арада жұмысшыға техниканың жоғарғы кабинасына арнайы шығатын сатымен көтеріліп жұмыс жасауды ескерттім.;FALSE;Нет данных;TRUE;TRUE;Бригада шеберіне;TRUE;;;
Небезопасное поведение;Виолетов Лотос Лавандович;Охрана окружающей среды;1/8/25 5:00;6/17/25 16:57;"ТОО ""Весенний Пион""";Машинист жүргізуші белгіленген скважинаға наряд допускісіз көшіп барғаны анықталды.;Түсіндірме жұмыстары жүргізілді.;FALSE;Нет данных;TRUE;TRUE;Бригада шеберіне;TRUE;;;
Небезопасное поведение;Вербенов Орхидей Пионович;Поддержание чистоты и порядка;2/28/25 5:00;6/18/25 20:01;"ТОО ""Горная Эдельвейс""";камаз АТЗ тексеру кезінде мемлекеттік белгісі тазалығы өте лас. ;Жұмыс барысында түсіндірме жұмыстары жүргізілді.;FALSE;Нет данных;TRUE;TRUE;автотізбек бастығына;TRUE;;;
