source_type,korgau_id,event_time,event_date,year,month,day,hour,day_of_week,is_weekend,organization,region,location,observer_name,observation_type_raw,observation_type,observation_category,potential_consequences,measures_taken,encouragement_actions,reported_to_whom,work_stopped_flag,discussed_with_person_flag,reported_to_responsible_flag,hazard_eliminated_flag,signal_text,is_risk_signal,is_good_practice,has_potential_consequence_text,has_measures_text,has_report_target_text
,1183,1965-03-29 13:28:00,1965-03-29,1965.0,3.0,29.0,13.0,0.0,0,"ТОО ""Изумрудный Папоротник""",,,Флоров Георгин Лилиевич,Небезопасное поведение,unsafe_behavior,Работы на высоте / Строительные леса,Работа на высоте не применили монтажный пояс,Обьеснительные работы были проведены,Замечание зделали,Ответственному мастеру,1,1,1,1,"Тип наблюдения: Небезопасное поведение | Категория: Работы на высоте / Строительные леса | Организация: ТОО ""Изумрудный Папоротник"" | Последствия или преимущества: Работа на высоте не применили монтажный пояс | Меры: Обьеснительные работы были проведены | Остановка работ: True | Поощрение хорошей практики: Замечание зделали | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: Ответственному мастеру | Опасность устранена: True",1,0,1,1,1
,3507,1969-12-16 03:49:00,1969-12-16,1969.0,12.0,16.0,3.0,1.0,0,"ТОО ""Ароматный Мирт""",,,Астров Виолан Тюльпанович,Хорошая практика,good_practice,Прочее,замечаний нет,доложил руководству,доложил руководству,руководству,0,0,1,0,"Тип наблюдения: Хорошая практика | Категория: Прочее | Организация: ТОО ""Ароматный Мирт"" | Последствия или преимущества: замечаний нет | Меры: доложил руководству | Остановка работ: False | Поощрение хорошей практики: доложил руководству | Обсудили с наблюдаемым: False | Сообщили ответственному: True | Кому сообщили: руководству | Опасность устранена: False",0,1,1,1,1
,4731,1988-04-23 15:49:00,1988-04-23,1988.0,4.0,23.0,15.0,5.0,1,"ТОО ""Лепесток Удачи""",,,Тюльпанов Гортензий Астрович,Небезопасное поведение,unsafe_behavior,Знаки безопасности / Предупредительные таблички,необходимо обновить и установить специальные знаки,необходимо обновить и установить специальные знаки,Устно было сказано о обновлении и установке,Своему начальнику,0,1,0,1,"Тип наблюдения: Небезопасное поведение | Категория: Знаки безопасности / Предупредительные таблички | Организация: ТОО ""Лепесток Удачи"" | Последствия или преимущества: необходимо обновить и установить специальные знаки | Меры: необходимо обновить и установить специальные знаки | Остановка работ: False | Поощрение хорошей практики: Устно было сказано о обновлении и установке | Обсудили с наблюдаемым: True | Сообщили ответственному: False | Кому сообщили: Своему начальнику | Опасность устранена: True",1,0,1,1,1
,1956,2024-01-04 20:00:00,2024-01-04,2024.0,1.0,4.0,20.0,3.0,0,"ТОО ""Лазурный Дельфиниум""",,,Лилиев Магнолий Мелиссович,Небезопасное условие,unsafe_condition,Взрыво- и пожароопасность,Отклонение опоры на линии закачки мазута АТ-2,Укрепить опору,СЗ на поощрение,СБиОТ,0,1,1,1,"Тип наблюдения: Небезопасное условие | Категория: Взрыво- и пожароопасность | Организация: ТОО ""Лазурный Дельфиниум"" | Последствия или преимущества: Отклонение опоры на линии закачки мазута АТ-2 | Меры: Укрепить опору | Остановка работ: False | Поощрение хорошей практики: СЗ на поощрение | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: СБиОТ | Опасность устранена: True",1,0,1,1,1
,1919,2024-01-05 12:00:00,2024-01-05,2024.0,1.0,5.0,12.0,4.0,0,"ТОО ""Флора Капитал""",,,Лавандов Орхидей Розанович,Небезопасное условие,unsafe_condition,"Рабочее место / Эргономика, Проскальзывание / Спотыкание / Падение",Плохое освещение в вент камере.,Замена лампочек освещения,СЗ на поощрение,СБиОТ,0,1,1,1,"Тип наблюдения: Небезопасное условие | Категория: Рабочее место / Эргономика, Проскальзывание / Спотыкание / Падение | Организация: ТОО ""Флора Капитал"" | Последствия или преимущества: Плохое освещение в вент камере. | Меры: Замена лампочек освещения | Остановка работ: False | Поощрение хорошей практики: СЗ на поощрение | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: СБиОТ | Опасность устранена: True",1,0,1,1,1
,1946,2024-01-05 19:00:00,2024-01-05,2024.0,1.0,5.0,19.0,4.0,0,"ТОО ""Голубая Гортензия""",,,Лотосов Гортензий Лотосович,Небезопасное условие,unsafe_condition,Проскальзывание / Спотыкание / Падение,Торчит металлические крепление старого элект. щита,срезали металлические торчащие предметы,СЗ на поощрение,СБиОТ,0,1,1,1,"Тип наблюдения: Небезопасное условие | Категория: Проскальзывание / Спотыкание / Падение | Организация: ТОО ""Голубая Гортензия"" | Последствия или преимущества: Торчит металлические крепление старого элект. щита | Меры: срезали металлические торчащие предметы | Остановка работ: False | Поощрение хорошей практики: СЗ на поощрение | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: СБиОТ | Опасность устранена: True",1,0,1,1,1
,1936,2024-01-06 20:00:00,2024-01-06,2024.0,1.0,6.0,20.0,5.0,1,"ТОО ""Южная Магнолия""",,,Виолетов Гортензий Магнолиевич,Небезопасное условие,unsafe_condition,Взрыво- и пожароопасность,В насосной №43 произошла утечка нефтепродукта с насоса №4,Набивка сальников,СЗ на поощрение,СБиОТ,1,1,1,1,"Тип наблюдения: Небезопасное условие | Категория: Взрыво- и пожароопасность | Организация: ТОО ""Южная Магнолия"" | Последствия или преимущества: В насосной №43 произошла утечка нефтепродукта с насоса №4 | Меры: Набивка сальников | Остановка работ: True | Поощрение хорошей практики: СЗ на поощрение | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: СБиОТ | Опасность устранена: True",1,0,1,1,1
,2057,2024-01-06 21:00:00,2024-01-06,2024.0,1.0,6.0,21.0,5.0,1,"ТОО ""Весенний Пион""",,,Пионов Астрон Лотосович,Небезопасное условие,unsafe_condition,Проскальзывание / Спотыкание / Падение,Арматура торчит 12 см со стороны колона №1,Срезать арматуру,СЗ на поощрение,СБ иОТ,0,1,1,1,"Тип наблюдения: Небезопасное условие | Категория: Проскальзывание / Спотыкание / Падение | Организация: ТОО ""Весенний Пион"" | Последствия или преимущества: Арматура торчит 12 см со стороны колона №1 | Меры: Срезать арматуру | Остановка работ: False | Поощрение хорошей практики: СЗ на поощрение | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: СБ иОТ | Опасность устранена: True",1,0,1,1,1
,2022,2024-01-09 13:30:00,2024-01-09,2024.0,1.0,9.0,13.0,1.0,0,"ТОО ""Сафлоровый Рассвет""",,,Орхидеев Хризантем Орхидеевич,Небезопасное условие,unsafe_condition,Целостность объекта / Оборудования,При обходе установки обнаружил что на входной двери реогентного помещения сломана ручка.,Поставил в известность начальника установки.,Подготовлена служебная записка на поощрения.,В службу БиОТ.,0,1,1,1,"Тип наблюдения: Небезопасное условие | Категория: Целостность объекта / Оборудования | Организация: ТОО ""Сафлоровый Рассвет"" | Последствия или преимущества: При обходе установки обнаружил что на входной двери реогентного помещения сломана ручка. | Меры: Поставил в известность начальника установки. | Остановка работ: False | Поощрение хорошей практики: Подготовлена служебная записка на поощрения. | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: В службу БиОТ. | Опасность устранена: True",1,0,1,1,1
,2102,2024-01-10 20:00:00,2024-01-10,2024.0,1.0,10.0,20.0,2.0,0,"ТОО ""Степной Шалфей""",,,Камелиев Фиал Георгинович,Небезопасное условие,unsafe_condition,Проскальзывание / Спотыкание / Падение,Между установкой ТАМЕ и ПитН имеется перегородка в виде бетонного забора. Бетонный забор частично разрушен и имеется наклон с риском падения.,Убрать бетонный забор,служеная записка на поощрение,СБ и ОТ,0,1,1,1,"Тип наблюдения: Небезопасное условие | Категория: Проскальзывание / Спотыкание / Падение | Организация: ТОО ""Степной Шалфей"" | Последствия или преимущества: Между установкой ТАМЕ и ПитН имеется перегородка в виде бетонного забора. Бетонный забор частично разрушен и имеется наклон с риском падения. | Меры: Убрать бетонный забор | Остановка работ: False | Поощрение хорошей практики: служеная записка на поощрение | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: СБ и ОТ | Опасность устранена: True",1,0,1,1,1
,1868,2024-01-11 15:45:00,2024-01-11,2024.0,1.0,11.0,15.0,3.0,0,"ТОО ""Серебряный Лотос""",,,Пионов Камелий Тюльпанович,Небезопасное условие,unsafe_condition,Проскальзывание / Спотыкание / Падение,"На котле утилизатор в 3-ем ярусе со стороны воздуходувок через переход проведен отвод трубопровода для временной подачи пара или воздуха. Этот отвод мешает пройти, приходится перепрыгивать. кроме того на его конце приварен квадратная заглушка.",Отрезать отвод до основной вертикальной трубы и приварить на место заглушку,Подготовлена служебная записка для поощрения,В службу БиОТ,0,1,1,1,"Тип наблюдения: Небезопасное условие | Категория: Проскальзывание / Спотыкание / Падение | Организация: ТОО ""Серебряный Лотос"" | Последствия или преимущества: На котле утилизатор в 3-ем ярусе со стороны воздуходувок через переход проведен отвод трубопровода для временной подачи пара или воздуха. Этот отвод мешает пройти, приходится перепрыгивать. кроме того на его конце приварен квадратная заглушка. | Меры: Отрезать отвод до основной вертикальной трубы и приварить на место заглушку | Остановка работ: False | Поощрение хорошей практики: Подготовлена служебная записка для поощрения | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: В службу БиОТ | Опасность устранена: True",1,0,1,1,1
,2097,2024-01-11 19:15:00,2024-01-11,2024.0,1.0,11.0,19.0,3.0,0,"ТОО ""Садовый Гиацинт""",,,Вербенов Пион Лотосович,Небезопасное условие,unsafe_condition,Целостность объекта / Оборудования,"На котле утилизатор ЗИП-154 (в ЗИПе ПТБ) в ходе осмотра был выявлен выпускной трубопровод (паропровод) для подачи пара или водяного пара, расположенный в зоне прохода персонала. Кромка патрубка имеет острые края, кроме того, на его конце отсутствует приваренная квадратная заглушка.",Отрезать отвод до основной вертикальной трубы и приварить на место среза заглушку.,служебная записка на поощрение,СБ и ОТ,0,1,1,1,"Тип наблюдения: Небезопасное условие | Категория: Целостность объекта / Оборудования | Организация: ТОО ""Садовый Гиацинт"" | Последствия или преимущества: На котле утилизатор ЗИП-154 (в ЗИПе ПТБ) в ходе осмотра был выявлен выпускной трубопровод (паропровод) для подачи пара или водяного пара, расположенный в зоне прохода персонала. Кромка патрубка имеет острые края, кроме того, на его конце отсутствует приваренная квадратная заглушка. | Меры: Отрезать отвод до основной вертикальной трубы и приварить на место среза заглушку. | Остановка работ: False | Поощрение хорошей практики: служебная записка на поощрение | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: СБ и ОТ | Опасность устранена: True",1,0,1,1,1
,1858,2024-01-11 19:55:00,2024-01-11,2024.0,1.0,11.0,19.0,3.0,0,"ТОО ""Белая Роза""",,,Лавандов Ирис Тюльпанович,Небезопасное условие,unsafe_condition,Проскальзывание / Спотыкание / Падение,При входе в операторную заметила отвисание кафеля от стены в коридоре,Устранили отвисание,Подготовлена СЗ на поощрение,В службу БиОТ,0,1,1,1,"Тип наблюдения: Небезопасное условие | Категория: Проскальзывание / Спотыкание / Падение | Организация: ТОО ""Белая Роза"" | Последствия или преимущества: При входе в операторную заметила отвисание кафеля от стены в коридоре | Меры: Устранили отвисание | Остановка работ: False | Поощрение хорошей практики: Подготовлена СЗ на поощрение | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: В службу БиОТ | Опасность устранена: True",1,0,1,1,1
