Тип_наблюдения;ФИО;Категория_наблюдения;Организация;Какие_возможные_последствия_наблюдения_или_преимущества_хорошей_практики_/_вашего_предложения?;Какие_меры_вы_предприняли?;Производилась_ли_остановка_работ?;Какие_действия_вы_предприняли_для_поощрения_хорошей_практики?;Обсудили_ли_вы_небезопасное_действие_/_небезопасное_поведение_с_наблюдаемым?;Сообщили_ли_ответственному_лицу?;Кому_вы_сообщили_о_наблюдении?_(Обязательно_к_заполнению_для_небезопасного_действия/_небезопасного_поведения/опасного_фактора_/_опасного_случая);Было_ли_небезопасное_условие_/_поведение_исправлено_и_опасность_устранена?;Дата_Время
Опасный фактор;Фиалков Мелисс Нарциссович;Вывешивание плакатов;"ТОО ""Алый Тюльпан""";Отсутствие плаката категорий безопасности на № 7520;Предупредил мастера вывесить плакат категорий безопасности;False;Предупредил остальных мастеров;True;True;отвественному лицу мастеру;True;2025-04-15 20:00:00.000
Хорошая практика;Астров Виолан Камелиевич;Наряд-допуск / Оценка риска, Целостность объекта / Оборудования;"ТОО ""Белая Роза""";Провел наблюдение. Предложении нет;Доложил начальнику участка;False;Доложил начальнику участка;True;True;Доложил начальнику участка;True;2025-11-04 22:35:00.000
Небезопасное условие ;Орхидеев Лаврентий Георгинович;Электрооборудование;"ТОО ""Золотая Лилия""";КТП қондырғысы жер тізбегіне қосылмаған.;Шеберге хабарланды.;False;Ешқандай.;True;True;Шеберге хабарланды.;True;2025-03-20 15:30:00.000
Небезопасное поведение;Гортензиев Нарцисс Георгинович;Машины и оборудование;"ТОО ""Лавандовый Рассвет""";Жұмыс жасау барысында, бригада жұмыс алаңшасында төселгент төсеніштері талапқа сай болуын қадағалау және қауіпсіздік шараларын  қатты қадағалау тұрақты.;Келеңсіз жағдай болдырмау мақсатында, алдын ала қауіпсіздік шарасын орындауға ұсыныс берілді;False;Нет данных;True;True;Бриагада шеберіне;True;2025-05-08 19:46:00.000
Небезопасное поведение;Магнолиев Мелисс Мелиссович;СИЗ / Средства по обеспечению безопасности;"ТОО ""Синяя Орхидея""";Тексеру барысында көтергіш агрегат машинисті монтаж жұмысын каскасыз жүргені анықталды.;Түсіндіру жұмыстары жүргізілді;False;Нет данных;True;True;Бригада шеберіне;True;2025-01-21 21:54:00.000
Небезопасное поведение;Розанов Вербен Вербенович;Вождение, Наряд-допуск / Оценка риска, Поддержание чистоты и порядка;"ТОО ""Пурпурный Ирис""";Тексеру кезінде жұмысшы көтергіш агрегаттың алдыңғы домкраты тірелмеген. Көтергіш агрегаттың жұмыс алаңшасында бөгде заттар жатыр.;Сол арада жұмыс басында машиниске бөгде заттарды алып тастауға бұйрық бердім. Домкратты түсіртіп тіреттім. Жұмысшыға түсіндірме жұмыстарын жүргіздім.;False;Нет данных;True;True;Бригада шеберіне;True;2025-02-26 16:57:00.000
Опасный фактор;Камелиев Вербен Орхидеевич;Проскальзывание / Спотыкание / Падение, Санитарно-бытовые помещения;"ТОО ""Нежная Фиалка""";При входе в общий туалет на лестничной площадке имеется утрамбованный снег что может привести к проскальзыванию и падению;Сообщил мастеру участка;False;Проведена беседа с работниками;True;True;Инженеру ТБ;True;2025-03-03 15:27:00.000
Небезопасное поведение;Нарциссов Нарцисс Флорович;Охрана окружающей среды, Машины и оборудование;"ТОО ""Солнечный Подсолнух""";Тексеру кезінде жұмысшы жұмыс кезінде техниканың белгіленбеген жерінен көтерілді.;Сол арада жұмысшыға техниканың жоғарғы кабинасына арнайы шығатын сатымен көтеріліп жұмыс жасауды ескерттім.;False;Нет данных;True;True;Бригада шеберіне;True;2025-05-08 20:50:00.000
Небезопасное поведение;Виолетов Лотос Лавандович;Охрана окружающей среды;"ТОО ""Весенний Пион""";Машинист жүргізуші белгіленген скважинаға наряд допускісіз көшіп барғаны анықталды.;Түсіндірме жұмыстары жүргізілді.;False;Нет данных;True;True;Бригада шеберіне;True;2025-01-08 16:57:00.000
Небезопасное поведение;Вербенов Орхидей Пионович;Поддержание чистоты и порядка;"ТОО ""Горная Эдельвейс""";камаз АТЗ тексеру кезінде мемлекеттік белгісі тазалығы өте лас. ;Жұмыс барысында түсіндірме жұмыстары жүргізілді.;False;Нет данных;True;True;автотізбек бастығына;True;2025-02-28 20:01:00.000
Опасный случай;Фиалков Тюльпан Нарциссович;Взрыво- и пожароопасность;"ТОО ""Дикая Ромашка""";При обходе территории было выявлено факт нарушения использование открытого огня (зажигалка) в помещения для курения.;Было изъято зажигательное устройство, взято объяснительная записка, проведено разъяснительная беседа. ;True;Было проведено объяснительно-разъяснительная беседа с нарушителями о выявленных нарушениях.;True;True;Ответственному лицу подрядных организации ;True;2025-04-04 20:45:00.000
Опасный случай;Вербенов Сакур Гортензиевич;Целостность объекта / Оборудования;"ТОО ""Серебряный Лотос""";Пропуск по пару;Замена запорной арматуры;False;нет;True;True;Начальнику ПСГ;True;2025-03-09 14:00:00.000
Небезопасное действие;Камелиев Азалий Розанович;СИЗ / Средства по обеспечению безопасности;"ТОО ""Ясный Василёк""";Работа по изоляции трубопровода без защитных очков;Приостановил работы до устранения замечании. ;True;Провел разъяснительную беседу с работником согласно инструкции ОТБ-012  ;True;True;Начальнику участка Курбанкулову К.;True;2025-04-14 16:15:00.000
Предложение (инициатива);Лавандов Орхидей Георгинович;Поддержание чистоты и порядка;"ТОО ""Алая Гвоздика""";№2 Әкімшілік ғимаратының жанында демалу орынның айналасына шөп өскен;Учаске бастығына хабарланды;False;Демалу орнының айналасы шөптен тазартылды;True;True;Учаске бастығына хабарланды;True;2025-05-20 20:20:00.000
Небезопасное условие ;Георгинов Вербен Сакурович;Поддержание чистоты и порядка, Транспортировка;"ТОО ""Сакура Плюс""";Тексеру кезінде бригада басында жұмыс жасап тұрған көтергіш агрегат лас. ;Сол арада жұмыс басында машиниске көтергіш агрегатты майдан жуып тазалауды тапсырдым.;False;Нет данных;True;True;Бригада шеберіне;True;2025-05-21 20:55:00.000
Небезопасное действие;Флоров Азалий Гортензиевич;Поддержание чистоты и порядка;"ТОО ""Южная Магнолия""";Тексеру кезінде көтергіш агрегаттардың тазалығы өте лас. Көтергіш агрегаттардың тазалығы сақталып талапқа сай жұмыс жасау керек.;Бригада басында бригада шеберіне және көтергіш машинистерге түсіндірме жұмыстары жүргіздім.;False;Нет данных;True;True;Бригада шеберіне;True;2025-01-06 14:59:00.000
Небезопасное поведение;Астров Мелисс Мелиссович;Машины и оборудование;"ТОО ""Таёжный Жасмин""";Жұмыс жасап тұрған бригада, жұмыс жасау барысында мәдениет үйшігі мен жұмыс алаңшасы арасындағы жұру жолдарын талапқа сай реттеу.;Келеңсіз жағдай болдырмау мақсатында, алдын ала қауіпсіздік шарасын орындауға ұсыныс берілді.;False;Нет данных;True;True;Бригада шеберіне;True;2025-02-07 15:04:00.000
Небезопасное поведение;Маргаритов Лаврентий Лилиевич;Поддержание чистоты и порядка, Охрана окружающей среды;"ТОО ""Полевая Незабудка""";Тексеру кезінде көтергіш агрегаттың тазалығы өте лас. Көтергіш агрегаттың тазалығы сақталып сай жұмыс жасау керек.;Бригада басында бригада шеберіне ескертіп.;False;Нет данных;True;True;Бригада шеберіне;True;2025-02-05 16:26:00.000
Небезопасное действие;Лилиев Хризантем Розанович;Выполнение требований инструкций;"ТОО ""Янтарная Хризантема""";Қауіпсіздікті сақтау.;Нұсқау талаптарын сақтау талап етілді;True;Қызметкерлерге түсіндіру жұмыстары жүргізілді.Қосымша нұсқама жүргізілді;True;True;Жауптыларға хабарланды.;True;2025-04-29 15:29:00.000
Предложение (инициатива);Камелиев Гортензий Астрович;Рабочее место / Эргономика;"ТОО ""Тихая Камелия""";Замечаний нет.Условия по Тб соблюдается.;Доложил руководству.;False;Поблагодарил работников.;True;True;Руководству.;True;2025-08-11 11:50:00.000
